"#","Performer","Title","Inst.","Style","Year","Tempo","Tones","NA","NA","Inst"
"214","John Abercrombie","Ralph’s Piano Waltz","g","Postbop","1988","196.5",298,"Score","JazzTube","g"
"215","John Coltrane","26-2","ts","Hardbop","1960","194.5",668,"Score","JazzTube","ts"
"216","John Coltrane","Bessie’s Blues","ts","Postbop","1964","184.3",352,"Score","JazzTube","ts"
"217","John Coltrane","Blues by Five","ts","Hardbop","1956","176.5",449,"Score","JazzTube","ts"
"218","John Coltrane","Blue Train","ts","Hardbop","1957","141.4",992,"Score","JazzTube","ts"
"219","John Coltrane","Body and Soul (Alternate Take)","ts","Postbop","1960","138.0",421,"Score","JazzTube","ts"
"220","John Coltrane","Body and Soul","ts","Postbop","1960","141.6",393,"Score","JazzTube","ts"
"221","John Coltrane","Countdown","ts","Hardbop","1959","337.6",867,"Score","JazzTube","ts"
"222","John Coltrane","Giant Steps","ts","Hardbop","1959","290.3",1127,"Score","JazzTube","ts"
"223","John Coltrane","Giant Steps (2)","ts","Hardbop","1959","299.2",198,"Score","JazzTube","ts"
"224","John Coltrane","Impressions (1961)","ts","Postbop","1961","293.4",4954,"Score","JazzTube","ts"
"225","John Coltrane","Impressions (1963)","ts","Postbop","1963","278.7",1954,"Score","JazzTube","ts"
"226","John Coltrane","Mr. P.C.","ts","Hardbop","1959","258.2",1165,"Score","JazzTube","ts"
"227","John Coltrane","My Favorite Things","ss","Postbop","1960","179.3",743,"Score","JazzTube","ss"
"228","John Coltrane","My Favorite Things (2)","ss","Postbop","1960","178.9",723,"Score","JazzTube","ss"
"229","John Coltrane","Nature Boy","ts","Postbop","1963","186.1",1292,"Score","JazzTube","ts"
"230","John Coltrane","Nutty","ts","Hardbop","1957","137.8",1226,"Score","JazzTube","ts"
"231","John Coltrane","Oleo","ts","Hardbop","1956","266.2",656,"Score","JazzTube","ts"
"232","John Coltrane","Soultrane","ts","Hardbop","1956","82.1",357,"Score","JazzTube","ts"
"233","John Coltrane","So What","ts","Postbop","1959","141.6",479,"Score","JazzTube","ts"
"234","John Coltrane","Trane’s Blues","ts","Hardbop","1956","164.9",412,"Score","JazzTube","ts"
"235","Johnny Dodds","Got No Blues","cl","Traditional","1927","141.9",100,"Score","JazzTube","cl"
"236","Johnny Dodds","Heebie Jeebies","cl","Traditional","1926","165.8",106,"Score","JazzTube","cl"
"237","Johnny Dodds","Hotter than That","cl","Traditional","1927","212.4",170,"Score","JazzTube","cl"
"238","Johnny Dodds","Muskrat Ramble","cl","Traditional","1926","185.1",93,"Score","JazzTube","cl"
"239","Johnny Dodds","My Heart","cl","Traditional","1925","192.2",111,"Score","JazzTube","cl"
"240","Johnny Dodds","Once in a While","cl","Traditional","1927","208.5",142,"Score","JazzTube","cl"
"241","Johnny Hodges","Bunny","as","Swing","1959","114.4",203,"Score","JazzTube","as"
"242","Johnny Hodges","Early Morning Rock","as","Swing","1957","175.6",117,"Score","JazzTube","as"
"243","Joshua Redman","Blues on Sunday","ts","Postbop","1992","132.7",619,"Score","JazzTube","ts"
"244","Joshua Redman","Home Fries","ts","Postbop","1996","181.4",590,"Score","JazzTube","ts"
"245","Joshua Redman","I Got You","ts","Fusion","1992","145.2",306,"Score","JazzTube","ts"
"246","Joshua Redman","Sweet Sorrow","ts","Postbop","1994","53.0",502,"Score","JazzTube","ts"
"247","Joshua Redman","Tears in Heaven","ts","Fusion","1993","84.0",405,"Score","JazzTube","ts"
"248","Kai Winding","Tiny’s Blues","tb","Bebop","1948","222.5",208,"Score","JazzTube","tb"
"249","Kenny Dorham","Blues in Be-Bop","tp","Bebop","1946","186.7",158,"Score","JazzTube","tp"
